_id,objectid,trail_id,trail_name,park_name_short,park_name,park_name_full,blaze_color_full,blaze_color_short,base_color,cap_color,dot_color,dash_color,image_link,mileage,track,track_num,difficulty,configuration,surface,service_road,globalid,trail_status,shape_length
35604,20223,WO40456,Orange Trail,WO,White Oak,White Oak Park,Orange,OR,Orange,,,,https://apps.alleghenycounty.us/GIS/ORANGEbase.png,2.94998863,,,Moderate,Complete Loop,Dirt,No,{9BCD7B55-15C6-42EE-8F72-CB673E9B57A4},Active,0.0492885505349542
35605,20224,WO2321, ,WO,White Oak,White Oak Park,,,,,,,,0.02638982,,,,<Null>,,,{C06D0330-9A43-4749-AE82-7FC765AB6346},Active,0.000441368345538835
35606,20225,WO42930,White,WO,White Oak,White Oak Park,White,WT,White,,,,https://apps.alleghenycounty.us/GIS/WHITEbase.png,0.64630365,,,Moderate,Connector Trail,Dirt,No,{341716A3-D32E-475E-BD71-3657C38D669A},Active,0.0106808108917661
35607,20226,WO42946,,WO,White Oak,White Oak Park,,,,,,,,0.47936765,,,,<Null>,Grass,,{313E48DD-BB26-43A8-B37A-3B637F40F930},Active,0.00822017267900014
35608,20227,WO43354,,WO,White Oak,White Oak Park,,,,,,,,0.23602096,,,,<Null>,Grass,No,{177AEA14-484B-48B8-B838-F187D2AA885B},Active,0.00430903018367049
35609,20228,WO43356,,WO,White Oak,White Oak Park,,,,,,,,0.18634874,,,,<Null>,Grass,No,{B46D64B8-D2C3-4CB6-BC65-F12794257374},Active,0.00348003029475224
35610,20229,WO43357,,WO,White Oak,White Oak Park,,,,,,,,0.20250079,,,,<Null>,Grass,No,{DD912439-D2DE-4A79-A34E-3B6D52757156},Active,0.00379882259166953
35611,20230,WO45405,Yellow,WO,White Oak,White Oak Park,Yellow,YL,Yellow,,,,https://apps.alleghenycounty.us/GIS/YELLOWbase.png,1.56475086,,,Moderate-Difficult,Complete Loop,Dirt,No,{B96B4C10-BEDE-4670-A9C0-3FB4C7798F5E},Active,0.026760157571174
35612,20231,WO45414, ,WO,White Oak,White Oak Park,,,,,,,,0.02228099,,,Easy,<Null>,Dirt,No,{ABF1981D-6AC5-4ECF-A46B-AAC7E92955F7},Active,0.000413824539190825
35613,20232,WO45416, ,WO,White Oak,White Oak Park,,,,,,,,0.0136604,,,Easy-Moderate,<Null>,Dirt,No,{B834212F-2178-4E1F-B15A-5487030BA7F1},Closed,0.000246416665618643
